PLAYER,Age,POS,HEIGHT,G,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,RO,RD,RT,AST,PR,PP,ST,FF,FS,+/-,MIN
Carlo Zucca,25.0,1.0,182.0,18,150.0,55.0,151.0,36.42,8.0,32.0,25.0,47.0,119.0,39.5,32.0,54.0,59.26,13.0,81.0,94.0,81.0,26.0,34.0,5.0,31.0,58.0,-61.0,514:50
Luca Viscardi,21.0,5.0,195.0,18,141.0,62.0,129.0,48.06,0.0,1.0,0.0,62.0,128.0,48.44,17.0,36.0,47.22,26.0,66.0,92.0,8.0,12.0,20.0,3.0,53.0,23.0,11.0,323:14
Niccolò Favretto,23.0,2.0,184.0,22,136.0,49.0,131.0,37.4,1.0,12.0,8.33,48.0,119.0,40.34,37.0,67.0,55.22,14.0,38.0,52.0,58.0,29.0,50.0,5.0,42.0,51.0,7.0,481:45
Riccardo Palumbo,30.0,4.0,190.0,20,135.0,50.0,118.0,42.37,2.0,7.0,28.57,48.0,111.0,43.24,33.0,52.0,63.46,41.0,83.0,124.0,11.0,19.0,36.0,5.0,48.0,39.0,11.0,357:14
Marco Guerci,22.0,1.0,180.0,22,130.0,44.0,132.0,33.33,25.0,75.0,33.33,19.0,57.0,33.33,17.0,25.0,68.0,22.0,64.0,86.0,57.0,33.0,41.0,0.0,25.0,38.0,29.0,484:25
Luigi De Bellis,40.0,2.0,183.0,21,126.0,35.0,126.0,27.78,32.0,112.0,28.57,3.0,14.0,21.43,24.0,30.0,80.0,8.0,21.0,29.0,6.0,26.0,8.0,0.0,17.0,17.0,-51.0,327:23
Alessandro Arisi,25.0,5.0,193.0,15,122.0,52.0,118.0,44.07,0.0,0.0,,52.0,118.0,44.07,18.0,34.0,52.94,12.0,48.0,60.0,3.0,12.0,13.0,0.0,37.0,27.0,-14.0,246:54
Ivan Petix,19.0,4.0,195.0,22,114.0,47.0,146.0,32.19,3.0,22.0,13.64,44.0,124.0,35.48,17.0,38.0,44.74,28.0,74.0,102.0,8.0,15.0,11.0,9.0,30.0,48.0,-20.0,360:49
Giovanni Valentini,26.0,3.0,187.0,19,106.0,37.0,124.0,29.84,7.0,36.0,19.44,30.0,88.0,34.09,25.0,36.0,69.44,16.0,43.0,59.0,36.0,14.0,24.0,0.0,23.0,30.0,49.0,328:0
Andrea Pasqualini,32.0,2.0,183.0,20,84.0,31.0,106.0,29.25,9.0,34.0,26.47,22.0,72.0,30.56,13.0,23.0,56.52,12.0,20.0,32.0,35.0,13.0,12.0,0.0,35.0,20.0,-25.0,357:15
Stefano Zanlucchi,34.0,4.0,192.0,11,81.0,35.0,82.0,42.68,2.0,7.0,28.57,33.0,75.0,44.0,9.0,18.0,50.0,25.0,65.0,90.0,12.0,17.0,18.0,8.0,20.0,20.0,-79.0,262:12
Alessandro Contardi,28.0,3.0,190.0,21,68.0,27.0,82.0,32.93,4.0,14.0,28.57,23.0,68.0,33.82,10.0,19.0,52.63,7.0,23.0,30.0,7.0,4.0,18.0,1.0,26.0,12.0,-36.0,216:0
Emanuele Pedriali,19.0,1.0,175.0,21,17.0,7.0,17.0,41.18,1.0,4.0,25.0,6.0,13.0,46.15,2.0,2.0,100.0,2.0,9.0,11.0,17.0,7.0,8.0,0.0,15.0,3.0,3.0,103:20
Giancarlo Parmeggiani,,,,3,9.0,4.0,15.0,26.67,0.0,2.0,0.0,4.0,13.0,30.77,1.0,1.0,100.0,4.0,6.0,10.0,4.0,4.0,5.0,0.0,10.0,2.0,10.0,36:41
Giuseppe Saggese,21.0,5.0,202.0,3,4.0,2.0,6.0,33.33,0.0,0.0,,2.0,6.0,33.33,0.0,0.0,,3.0,4.0,7.0,0.0,0.0,2.0,0.0,5.0,1.0,-6.0,25:14
Jacopo Filippini,18.0,2.0,175.0,3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0
Giovanni Calcagno,,,,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0
Vincenzo De Bellis,,,,2,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:19
